Date,Open,High,Low,Close,Adj Close,Volume
2018-03-22,244.089996,245.029999,239.169998,239.360001,234.263992,7449700
2018-03-23,239.979996,240.899994,234.850006,235.130005,230.124054,7598700
2018-03-26,239.029999,242.149994,237.199997,241.820007,236.671646,6589700
2018-03-27,243.050003,244.259995,236.850006,238.289993,233.216797,6513100
2018-03-28,239.039993,240.720001,237.050003,238.279999,233.206985,7983700
2018-03-29,239.570007,242.940002,239.059998,241.399994,236.260544,6614500
2018-04-02,240.330002,241.029999,233.199997,236.149994,231.122330,9217400
2018-04-03,237.380005,240.250000,236.399994,240.149994,235.037155,9874500
2018-04-04,235.050003,242.899994,234.940002,242.460007,237.297989,6437500
2018-04-05,243.800003,246.089996,243.380005,244.910004,239.695847,4786400
2018-04-06,242.300003,244.250000,237.240005,239.130005,234.038879,6985500
2018-04-09,241.160004,243.639999,239.429993,239.729996,234.626099,5052000
2018-04-10,243.350006,245.000000,242.199997,244.009995,238.814957,5977500
2018-04-11,242.130005,243.580002,241.389999,241.880005,236.730347,4733100
2018-04-12,243.660004,245.820007,243.440002,244.809998,239.597992,4742400
2018-04-13,246.419998,246.460007,242.330002,243.580002,238.394135,5222500
2018-04-16,245.119995,246.669998,244.720001,245.619995,240.390717,4018400
2018-04-17,248.149994,248.479996,247.270004,247.800003,242.524307,3821900
2018-04-18,247.880005,248.220001,247.080002,247.380005,242.113251,3645600
2018-04-19,246.919998,247.580002,245.490005,246.570007,241.320511,3721800
2018-04-20,246.369995,246.660004,243.589996,244.479996,239.403168,3396500
2018-04-23,245.059998,245.179993,243.139999,244.350006,239.275864,2491000
2018-04-24,245.389999,245.559998,238.119995,240.089996,235.104309,7088900
2018-04-25,240.289993,241.330002,238.089996,240.699997,235.701645,5269200
2018-04-26,241.429993,243.880005,241.119995,243.119995,238.071396,3845800
2018-04-27,242.970001,243.440002,241.770004,242.949997,237.904907,3209800
2018-04-30,244.100006,244.839996,241.509995,241.539993,236.524231,3475700
2018-05-01,240.690002,240.889999,237.910004,240.759995,235.760391,4396600
2018-05-02,240.610001,241.699997,238.720001,239.110001,234.144699,2729400
2018-05-03,237.919998,239.830002,235.119995,239.100006,234.134903,6177500
2018-05-04,238.110001,243.220001,237.679993,242.520004,237.483887,3600900
2018-05-07,243.500000,244.669998,242.490005,243.419998,238.365189,2983800
2018-05-08,243.169998,243.979996,241.839996,243.419998,238.365189,2927200
2018-05-09,244.229996,245.850006,243.210007,245.399994,240.304062,3670500
2018-05-10,246.000000,248.110001,245.970001,247.460007,242.321289,3877800
2018-05-11,247.699997,248.940002,247.380005,248.539993,243.378860,3293500
2018-05-14,249.410004,250.199997,248.850006,249.270004,244.093704,4286300
2018-05-15,248.070007,248.179993,246.490005,247.309998,242.174362,4755900
2018-05-16,247.179993,248.279999,246.970001,247.970001,242.820679,2034400
2018-05-17,247.800003,248.889999,246.880005,247.740005,242.595459,2058200
2018-05-18,246.970001,247.529999,246.419998,247.000000,242.553253,2408800
2018-05-21,249.220001,250.669998,249.210007,249.940002,245.440323,4060300
2018-05-22,250.369995,250.429993,247.919998,248.179993,243.712021,2329300
2018-05-23,246.830002,248.699997,246.470001,248.630005,244.153900,3479900
2018-05-24,248.130005,248.429993,245.850006,247.910004,243.446854,3448100
2018-05-25,247.410004,248.100006,246.710007,247.369995,242.916565,4207000
2018-05-29,245.380005,246.210007,242.309998,243.449997,239.067154,6439600
2018-05-30,245.169998,247.160004,244.580002,246.699997,242.258621,4185900
2018-05-31,246.000000,246.020004,243.509995,244.179993,239.783997,5357800
2018-06-01,246.139999,246.830002,245.649994,246.360001,241.924759,3565300
2018-06-04,247.720001,248.669998,247.539993,248.199997,243.731628,3062500
2018-06-05,248.160004,248.479996,247.160004,248.149994,243.682526,2816400
2018-06-06,249.240005,251.529999,248.550003,251.520004,246.991882,4102500
2018-06-07,252.220001,253.369995,251.740005,252.529999,247.983688,4286800
2018-06-08,251.960007,253.410004,251.770004,253.270004,248.710358,4451000
2018-06-11,253.619995,254.160004,253.020004,253.389999,248.828186,4200200
2018-06-12,253.740005,253.770004,252.559998,253.300003,248.739807,6531000
2018-06-13,253.419998,253.750000,252.029999,252.179993,247.639984,3819000
2018-06-14,253.160004,253.520004,251.539993,251.990005,247.453384,5007000
2018-06-15,250.270004,251.199997,248.770004,250.740005,246.593887,6340800
2018-06-18,248.800003,249.899994,248.139999,249.729996,245.600540,4075500
2018-06-19,246.600006,247.229996,245.529999,246.880005,242.797714,5511100
2018-06-20,247.960007,247.979996,246.119995,246.460007,242.384644,4711700
2018-06-21,245.830002,245.940002,243.929993,244.500000,240.457047,4676600
2018-06-22,245.919998,246.509995,245.440002,245.690002,241.627365,3584900
2018-06-25,244.179993,244.399994,240.699997,242.309998,238.303268,9536000
2018-06-26,242.919998,243.690002,242.270004,242.669998,238.657318,3829900
2018-06-27,243.270004,245.580002,241.009995,241.119995,237.132935,6149300
2018-06-28,240.470001,242.960007,239.830002,242.080002,238.077057,5524000
2018-06-29,243.479996,244.960007,242.589996,242.729996,238.716293,3966200
2018-07-02,240.919998,243.039993,240.619995,242.729996,238.716293,5700300
2018-07-03,244.059998,244.300003,241.350006,241.660004,237.664047,3143800
2018-07-05,243.130005,243.669998,241.690002,243.550003,239.522781,3294600
2018-07-06,243.309998,245.199997,242.809998,244.600006,240.555389,3546000
2018-07-09,245.779999,248.000000,245.759995,247.839996,243.741776,3679300
2018-07-10,248.520004,249.479996,248.449997,249.229996,245.108841,3474700
2018-07-11,247.339996,248.160004,246.639999,247.080002,242.994385,4409800
2018-07-12,249.070007,249.440002,248.169998,249.300003,245.177673,3175400
2018-07-13,249.240005,250.460007,248.929993,250.199997,246.062790,3018100
2018-07-16,250.389999,250.750000,249.830002,250.669998,246.525009,1881400
2018-07-17,250.550003,251.570007,249.899994,251.279999,247.124924,2960100
2018-07-18,251.389999,252.169998,251.020004,252.029999,247.862534,2119600
2018-07-19,251.220001,251.619995,250.610001,250.789993,246.643036,2537400
2018-07-20,249.820007,251.039993,249.679993,250.440002,246.611526,2687800
2018-07-23,250.210007,250.600006,249.619995,250.259995,246.434265,1792000
2018-07-24,251.259995,252.660004,251.059998,252.210007,248.354462,5485300
2018-07-25,251.570007,254.160004,250.929993,254.020004,250.136795,4687600
2018-07-26,254.520004,255.679993,254.449997,255.119995,251.219971,4175000
2018-07-27,255.110001,255.600006,253.479996,254.259995,250.373138,5852900
2018-07-30,254.529999,254.789993,252.669998,252.869995,249.004379,4484200
2018-07-31,253.690002,254.679993,253.600006,254.169998,250.284500,3743100
2018-08-01,253.899994,254.639999,252.559998,253.110001,249.240707,3159000
2018-08-02,251.449997,253.410004,251.029999,253.100006,249.230865,4132600
2018-08-03,253.039993,254.500000,253.039993,254.389999,250.501144,2469400
2018-08-06,254.220001,255.240005,253.630005,254.850006,250.954117,2305400
